gameId,playId,quarter,GameClock,down,yardsToGo,possessionTeam,yardlineSide,yardlineNumber,offenseFormation,personnel.offense,defendersInTheBox,numberOfPassRushers,personnel.defense,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,isSTPlay,SpecialTeamsPlayType,KickReturnYardage,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription
2017091004,37,1,15:00:00,0,0,DET,DET,35,NA,NA,NA,NA,NA,0,0,0,0,FALSE,TRUE,Kickoff,23,NA,NA,NA,42,K.Redfern kicks 65 yards from DET 35 to ARZ 0. K.Williams to ARZ 23 for 23 yards (M.Killebrew).
2017091004,73,1,14:54:00,1,10,ARI,ARI,23,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",0,0,0,0,FALSE,FALSE,NA,NA,-2,C,6,4,(14:54) (Shotgun) C.Palmer pass short right to L.Fitzgerald to ARZ 27 for 4 yards (Q.Diggs).
2017091004,97,1,14:16:00,2,6,ARI,ARI,27,SINGLEBACK,"1 RB, 1 TE, 3 WR",6,NA,"4 DL, 2 LB, 5 DB",0,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,2,(14:16) Da.Johnson up the middle to ARZ 29 for 2 yards (E.Ansah).
2017091004,118,1,13:34:00,3,4,ARI,ARI,29,SHOTGUN,"1 RB, 0 TE, 4 WR",5,4,"4 DL, 1 LB, 6 DB",0,0,0,0,FALSE,FALSE,NA,NA,7,C,7,15,"(13:34) (Shotgun) C.Palmer pass short middle to Da.Johnson to ARZ 43 for 14 yards (G.Quin). FUMBLES (G.Quin), recovered by ARZ-Ja.Brown at ARZ 44. Ja.Brown to ARZ 44 for no gain (J.Agnew)."
2017091004,153,1,12:51:00,1,10,ARI,ARI,44,SHOTGUN,"1 RB, 2 TE, 2 WR",7,NA,"4 DL, 3 LB, 4 DB",0,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,-2,(12:51) (Shotgun) Da.Johnson left end to ARZ 42 for -2 yards (A.Zettel).
2017091004,174,1,12:13:00,2,12,ARI,ARI,42,EMPTY,"1 RB, 2 TE, 2 WR",6,4,"4 DL, 3 LB, 4 DB",0,0,0,0,TRUE,FALSE,NA,NA,7,I,NA,0,"(12:13) C.Palmer pass incomplete short right to Da.Johnson (N.Lawson). Penalty on ARZ-Da.Johnson, Offensive Pass Interference, declined."
2017091004,207,1,12:08:00,3,12,ARI,ARI,42,SHOTGUN,"1 RB, 1 TE, 3 WR",5,4,"4 DL, 1 LB, 6 DB",0,0,0,0,FALSE,FALSE,NA,NA,7,IN,NA,0,(12:08) (Shotgun) C.Palmer pass short left intended for Da.Johnson INTERCEPTED by T.Wilson at ARZ 49. T.Wilson to ARZ 26 for 23 yards (D.Humphries).
2017091004,233,1,12:00:00,1,10,DET,ARI,26,SINGLEBICK,"1 RB, 2 TE, 2 WR",6,NA,"3 DL, 4 LB, 4 DB",0,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,5,(12:00) A.Abdullah left end ran ob at ARZ 21 for 5 yards (H.Reddick).
2017091004,254,1,11:29:00,2,5,DET,ARI,21,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,0,0,6,FALSE,FALSE,NA,NA,3,IN,NA,0,"(11:29) (Shotgun) M.Stafford pass short middle intended for G.Tate INTERCEPTED by J.Bethel at ARZ 18. J.Bethel for 82 yards, TOUCHDOWN."
2017091004,276,1,11:14:00,0,0,ARI,DET,15,NA,NA,NA,NA,NA,0,6,0,7,FALSE,TRUE,Extra Point,NA,NA,NA,NA,0,"P.Dawson extra point is GOOD, Center-A.Brewer, Holder-A.Lee."
2017091004,292,1,11:14:00,0,0,ARI,ARI,35,NA,NA,NA,NA,NA,0,7,0,7,FALSE,TRUE,Kickoff,18,NA,NA,NA,50,P.Dawson kicks 68 yards from ARZ 35 to DET -3. D.Washington to DET 15 for 18 yards (B.Williams; B.Baker).
2017091004,316,1,11:08:00,1,10,DET,DET,15,SINGLEBACK,"1 RB, 1 TE, 3 WR",7,NA,"2 DL, 4 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,NA,NA,NA,0,(11:08) A.Abdullah right end to DET 15 for no gain (K.Dansby).
2017091004,337,1,10:29:00,2,10,DET,DET,15,EMPTY,"1 RB, 1 TE, 3 WR",5,4,"3 DL, 3 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,2,C,0,2,"(10:29) (No Huddle, Shotgun) M.Stafford pass short right to A.Abdullah to DET 17 for 2 yards (A.Bethea)."
2017091004,361,1,9:51:00,3,8,DET,DET,17,SHOTGUN,"1 RB, 1 TE, 3 WR",4,4,"1 DL, 3 LB, 7 DB",0,7,0,7,FALSE,FALSE,NA,NA,28,I,NA,0,"(9:51) (No Huddle, Shotgun) M.Stafford pass incomplete deep right to K.Golladay (J.Bethel)."
2017091004,383,1,9:42:00,4,8,DET,DET,17,NA,NA,NA,NA,NA,0,7,0,7,FALSE,TRUE,Punt,0,NA,NA,NA,50,"(9:42) K.Redfern punts 50 yards to ARZ 33, Center-D.Muhlbach. K.Williams to ARZ 33 for no gain."
2017091004,408,1,9:33:00,1,10,ARI,ARI,33,EMPTY,"1 RB, 3 TE, 1 WR",6,5,"4 DL, 4 LB, 3 DB",0,7,0,7,FALSE,FALSE,NA,NA,-2,C,5,3,(9:33) (Shotgun) C.Palmer pass short right to Da.Johnson to ARZ 36 for 3 yards (J.Davis).
2017091004,432,1,8:57:00,2,7,ARI,ARI,36,SINGLEBACK,"1 RB, 2 TE, 2 WR",7,NA,"4 DL, 3 LB, 4 DB",0,7,0,7,FALSE,FALSE,NA,NA,NA,NA,NA,6,"(8:57) Da.Johnson left tackle to ARZ 42 for 6 yards (N.Lawson, A.Spence). ARZ-D.Humphries was injured during the play. He is Out."
2017091004,453,1,8:37:00,3,1,ARI,ARI,42,I_FORM,"2 RB, 2 TE, 1 WR",8,NA,"4 DL, 3 LB, 4 DB",0,7,0,7,FALSE,FALSE,NA,NA,NA,NA,NA,0,(8:37) Da.Johnson left tackle to ARZ 42 for no gain (T.Whitehead; C.Washington).
2017091004,478,1,8:08:00,4,1,ARI,ARI,42,NA,NA,NA,NA,NA,0,7,0,7,TRUE,TRUE,Punt,11,NA,NA,NA,44,"(8:08) A.Lee punts 41 yards to DET 17, Center-A.Brewer. J.Agnew ran ob at DET 28 for 11 yards (T.Branch). PENALTY on DET-D.Washington, Unnecessary Roughness, 14 yards, enforced at DET 28."
2017091004,514,1,7:56:00,1,10,DET,DET,14,SINGLEBACK,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,NA,S,NA,-7,(7:56) M.Stafford sacked at DET 7 for -7 yards (C.Jones).
2017091004,533,1,7:17:00,2,17,DET,DET,7,SHOTGUN,"1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,7,0,7,FALSE,FALSE,NA,NA,3,C,2,5,"(7:17) (No Huddle, Shotgun) M.Stafford pass short left to T.Riddick to DET 12 for 5 yards (A.Bethea)."
2017091004,557,1,6:31:00,3,12,DET,DET,12,SHOTGUN,"1 RB, 1 TE, 3 WR",5,4,"2 DL, 4 LB, 5 DB",0,7,0,7,TRUE,FALSE,NA,NA,-1,I,NA,-9,"(6:31) (No Huddle, Shotgun) M.Stafford pass incomplete short left. PENALTY on DET-M.Stafford, Intentional Grounding, 9 yards, enforced at DET 12."
2017091004,590,1,6:21:00,4,21,DET,DET,3,NA,"1 RB, 1 TE, 0 WR,1 P,3 LB,1 LS,4 DB",NA,NA,"0 DL, 2 LB, 5 DB, 2 RB,1 TE,1 WR",0,7,0,7,FALSE,TRUE,Punt,NA,NA,NA,NA,10,"(6:21) (Punt formation) K.Redfern FUMBLES (Aborted) at DET -8, and recovers at DET -8. K.Redfern pushed ob at DET 13 for 21 yards (I.Momah)."
2017091004,624,1,6:12:00,1,10,ARI,DET,13,SINGLEBACK,"1 RB, 2 TE, 2 WR",7,NA,"4 DL, 3 LB, 4 DB",0,7,0,7,FALSE,FALSE,NA,NA,NA,NA,NA,1,(6:12) Da.Johnson right tackle to DET 12 for 1 yard (G.Quin; J.Ledbetter).
